"journal_name","ISSN","JIF_2022","JCR_abbreviation","eISSN","category","total_citations","JIF_rank","JIF_5_year","JIF_5_year_quartile","JIF_without_self_cites","immediacy_index","journal_frequency"
"ALLERGOLOGY INTERNATIONAL","1323-8930",6.8,"ALLERGOL INT","1440-1592","ALLERGY - SCIE",3394," 6/28 ",6.3,"Q1",6.4,3.2,2
"ALLERGY","0105-4538",12.4,"ALLERGY","1398-9995","ALLERGY - SCIE",24704," 2/28 ",10.4,"Q1",11.2,2.7,2
"ALLERGY AND ASTHMA PROCEEDINGS","1088-5412",2.8,"ALLERGY ASTHMA PROC","1539-6304","ALLERGY - SCIE",2712," 17/28 ",2.8,"Q3",1.8,2.4,1
"ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE","1078-6791",1.5,"ALTERN THER HEALTH M","1078-6791","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE",1417," 24/28 ",1.4,"Q4",1.5,0.3,1
"ALTERNATIVES","0304-3754",1.3,"ALTERNATIVES","2163-3150","INTERNATIONAL RELATIONS - SSCI",653," 65/96 ",1.2,"Q4",1.1,0.9,1
"ALTEX-Alternatives to Animal Experimentation","1868-596X",5.6,"ALTEX-ALTERN ANIM EX","1868-8551","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",2001," 37/136 ",5.8,"Q2",5.1,2.6,1
"ALZHEIMER DISEASE & ASSOCIATED DISORDERS","0893-0341",2.1,"ALZ DIS ASSOC DIS","0893-0341","CLINICAL NEUROLOGY - SCIE",4119," 161/212 ",3,"Q3",2,0.3,3
"AME Case Reports","2523-1995",0.6,"AME CASE REP","2523-1995","MEDICINE, GENERAL & INTERNAL - ESCI",95," N/A ",NA,NA,0.6,0.2,1
"AMERICAN ANNALS OF THE DEAF","0002-726X",1,"AM ANN DEAF","1543-0375","EDUCATION, SPECIAL - SSCI",1016," 39/43 ",1.2,"Q4",0.9,0.1,2
"AMERICAN ANTHROPOLOGIST","0002-7294",3.5,"AM ANTHROPOL","1548-1433","ANTHROPOLOGY - SSCI",5357," 4/92 ",2.7,"Q1",3.1,0.4,1
"AMERICAN ANTIQUITY","0002-7316",2.8,"AM ANTIQUITY","2325-5064","ANTHROPOLOGY - SSCI",3587," 9/92 ",2.3,"Q2",2.6,1,2
"AMERICAN BANKRUPTCY LAW JOURNAL","0027-9048",0.6,"AM BANKRUPT LAW J",NA,"LAW - SSCI",155," 121/154 ",NA,NA,0.3,0.1,1
"AMERICAN BEHAVIORAL SCIENTIST","0002-7642",3.2,"AM BEHAV SCI","1552-3381","PSYCHOLOGY, CLINICAL - SSCI",7880," 53/131 ",3.3,"Q2",3.1,0.3,2
"AMERICAN BIOLOGY TEACHER","0002-7685",0.5,"AM BIOL TEACH","1938-4211","EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",895," 42/43 ",0.5,"Q4",0.4,0,1
"AMERICAN BUSINESS LAW JOURNAL","0002-7766",1.2,"AM BUS LAW J","1744-1714","LAW - SSCI",306," 82/154 ",1.8,"Q2",1,0.2,1
"AMERICAN CRIMINAL LAW REVIEW","0164-0364",0.4,"AM CRIM LAW REV","0164-0364","LAW - SSCI",274," 135/154 ",0.7,"Q4",0.4,0.4,1
"AMERICAN ECONOMIC REVIEW","0002-8282",10.7,"AM ECON REV","1944-7981","ECONOMICS - SSCI",74654," 4/380 ",12.7,"Q1",10.4,2.7,1
"AMERICAN EDUCATIONAL RESEARCH JOURNAL","0002-8312",3.6,"AM EDUC RES J","1935-1011","EDUCATION & EDUCATIONAL RESEARCH - SSCI",7622," 63/269 ",5.7,"Q1",3.6,0.7,1
"AMERICAN ETHNOLOGIST","0094-0496",2.3,"AM ETHNOL","1548-1425","ANTHROPOLOGY - SSCI",3974," 17/92 ",2.8,"Q1",2.1,0.2,1
"AMERICAN FAMILY PHYSICIAN","0002-838X",4,"AM FAM PHYSICIAN","1532-0650","MEDICINE, GENERAL & INTERNAL - SCIE",12023," 56/169 ",7.4,"Q1",3.9,0.5,3
"AMERICAN HEART JOURNAL","0002-8703",4.8,"AM HEART J","1097-6744","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE",20472," 45/143 ",4.4,"Q2",4.7,1.1,1
"AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH","1533-7731",1.3,"AM INDIAN ALASKA NAT","1533-7731","PSYCHOLOGY, CLINICAL - SSCI",566," 108/131 ",2.1,"Q3",0.9,0.2,1
"AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","0002-9092",4.2,"AM J AGR ECON","1467-8276","ECONOMICS - SSCI",10052," 78/380 ",4.7,"Q1",4,0.5,1
"AMERICAN JOURNAL OF ARCHAEOLOGY","0002-9114",1.2,"AM J ARCHAEOL","1939-828X","ARCHAEOLOGY - AHCI",1156," N/A ",1.1,NA,1.1,0.3,1
"AMERICAN JOURNAL OF BIOETHICS","1526-5161",13.4,"AM J BIOETHICS","1536-0075","ETHICS - SSCI",3325," 1/57 ",12.4,"Q1",9.8,12.7,4
"AMERICAN JOURNAL OF CARDIOLOGY","0002-9149",2.8,"AM J CARDIOL","1879-1913","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE",36385," 80/143 ",2.7,"Q3",2.7,0.6,1
"AMERICAN JOURNAL OF CHINESE MEDICINE","0192-415X",5.7,"AM J CHINESE MED","1793-6853","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE",5523," 3/28 ",5,"Q1",5.2,1.1,2
"AMERICAN JOURNAL OF CLINICAL DERMATOLOGY","1175-0561",7.3,"AM J CLIN DERMATOL","1179-1888","DERMATOLOGY - SCIE",5094," 5/70 ",7.4,"Q1",7.1,1.6,1
"AMERICAN JOURNAL OF CLINICAL HYPNOSIS","0002-9157",1.3,"AM J CLIN HYPN","2160-0562","PSYCHOLOGY, CLINICAL - SSCI",573," 108/131 ",1.2,"Q4",1,0.7,1
"AMERICAN JOURNAL OF CLINICAL NUTRITION","0002-9165",7.1,"AM J CLIN NUTR","1938-3207","NUTRITION & DIETETICS - SCIE",60841," 9/88 ",7.8,"Q1",6.8,2.4,1
"AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS","0277-3732",2.6,"AM J CLIN ONCOL-CANC","1537-453X","ONCOLOGY - SCIE",5060," 176/241 ",2.6,"Q4",2.6,0.3,1
"AMERICAN JOURNAL OF CLINICAL PATHOLOGY","0002-9173",3.5,"AM J CLIN PATHOL","1943-7722","PATHOLOGY - SCIE",12246," 25/76 ",2.9,"Q2",3.4,0.6,2
"AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY","0091-0562",3.1,"AM J COMMUN PSYCHOL","1573-2770","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",7895," 50/147 ",3.6,"Q2",2.8,0.8,3
"AMERICAN JOURNAL OF COMPARATIVE LAW","0002-919X",1.5,"AM J COMP LAW","2326-9197","LAW - SSCI",949," 59/154 ",1.3,"Q3",1.2,0.3,1
"AMERICAN JOURNAL OF CRITICAL CARE","1062-3264",2.7,"AM J CRIT CARE","1937-710X","CRITICAL CARE MEDICINE - SCIE",2829," 25/35 ",2.9,"Q3",2.6,0.5,2
"AMERICAN JOURNAL OF DANCE THERAPY","0146-3721",0.8,"AM J DANCE THER","1573-3262","PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",230," N/A ",1.2,NA,0.8,0,1
"AMERICAN JOURNAL OF DENTISTRY","0894-8275",1.4,"AM J DENT",NA,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",1887," 87/91 ",1.6,"Q4",1.3,0.1,1
"AMERICAN JOURNAL OF DERMATOPATHOLOGY","0193-1091",1.1,"AM J DERMATOPATH","1533-0311","DERMATOLOGY - SCIE",3380," 64/70 ",1.1,"Q4",1,0.3,1
"AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE","0095-2990",2.7,"AM J DRUG ALCOHOL AB","1097-9891","PSYCHOLOGY, CLINICAL - SSCI",3540," 67/131 ",3.9,"Q2",2.6,0.5,3
"AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY","0002-9246",0.8,"AM J ECON SOCIOL","1536-7150","ECONOMICS - SSCI",965," 334/380 ",1.1,"Q4",0.7,0.2,2
"AMERICAN JOURNAL OF EDUCATION","0195-6744",2.5,"AM J EDUC","1549-6511","EDUCATION & EDUCATIONAL RESEARCH - SSCI",1376," 123/269 ",3.3,"Q2",2.4,0.4,1
"AMERICAN JOURNAL OF EMERGENCY MEDICINE","0735-6757",3.6,"AM J EMERG MED","1532-8171","EMERGENCY MEDICINE - SCIE",15437," 8/32 ",2.9,"Q2",3.4,0.8,1
"AMERICAN JOURNAL OF EPIDEMIOLOGY","0002-9262",5,"AM J EPIDEMIOL","1476-6256","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",41526," 48/207 ",5.8,"Q1",4.8,1.4,1
"AMERICAN JOURNAL OF EVALUATION","1098-2140",1.7,"AM J EVAL","1557-0878","SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI",2366," 64/110 ",2.1,"Q3",1.5,0.3,1
"AMERICAN JOURNAL OF FAMILY THERAPY","0192-6187",1.4,"AM J FAM THER","1521-0383","FAMILY STUDIES - SSCI",970," 37/46 ",1.3,"Q4",1.3,0.3,2
"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY","0195-7910",1,"AM J FOREN MED PATH","1533-404X","MEDICINE, LEGAL - SCIE",1742," 14/17 ",0.9,"Q4",1,0.2,3
"AMERICAN JOURNAL OF GASTROENTEROLOGY","0002-9270",10.2,"AM J GASTROENTEROL","1572-0241","GASTROENTEROLOGY & HEPATOLOGY - SCIE",35535," 10/93 ",11.5,"Q1",9.8,2.5,1
"AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","1064-7481",7.2,"AM J GERIAT PSYCHIAT","1545-7214","GERIATRICS & GERONTOLOGY - SCIE",9697," 7/54 ",5.7,"Q1",6.9,1.9,4
"AMERICAN JOURNAL OF HEALTH BEHAVIOR","1945-7359",2.3,"AM J HEALTH BEHAV",NA,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",2650," 110/180 ",2.1,"Q3",2.3,0.2,1
"AMERICAN JOURNAL OF HEALTH PROMOTION","0890-1171",2.7,"AM J HEALTH PROMOT","2168-6602","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",4747," 93/180 ",2.9,"Q2",2.6,0.6,1
"AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY","1079-2082",2.7,"AM J HEALTH-SYST PH","1535-2900","PHARMACOLOGY & PHARMACY - SCIE",6537," 177/278 ",2.7,"Q3",2.2,0.5,1
"AMERICAN JOURNAL OF HEMATOLOGY","0361-8609",12.8,"AM J HEMATOL","1096-8652","HEMATOLOGY - SCIE",16213," 5/79 ",10,"Q1",12.3,2.5,1
"AMERICAN JOURNAL OF HUMAN BIOLOGY","1042-0533",2.9,"AM J HUM BIOL","1520-6300","ANTHROPOLOGY - SSCI",4562," 7/92 ",2.4,"Q1",2.5,0.4,1
"AMERICAN JOURNAL OF HUMAN GENETICS","0002-9297",9.8,"AM J HUM GENET","1537-6605","GENETICS & HEREDITY - SCIE",41181," 11/171 ",11.8,"Q1",9.4,1.8,1
"AMERICAN JOURNAL OF HYPERTENSION","0895-7061",3.2,"AM J HYPERTENS","1941-7225","PERIPHERAL VASCULAR DISEASE - SCIE",9622," 28/68 ",3,"Q3",3,1.4,2
"AMERICAN JOURNAL OF INDUSTRIAL MEDICINE","0271-3586",3.5,"AM J IND MED","1097-0274","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",6527," 91/207 ",2.9,"Q3",3.3,0.5,1
"AMERICAN JOURNAL OF INFECTION CONTROL","0196-6553",4.9,"AM J INFECT CONTROL","1527-3296","INFECTIOUS DISEASES - SCIE",11852," 33/96 ",3.4,"Q3",4.7,1.5,2
"AMERICAN JOURNAL OF INTERNATIONAL LAW","0002-9300",4,"AM J INT LAW","2161-7953","INTERNATIONAL RELATIONS - SSCI",2646," 10/96 ",2.5,"Q2",3.4,1.5,2
"AMERICAN JOURNAL OF KIDNEY DISEASES","0272-6386",13.2,"AM J KIDNEY DIS","1523-6838","UROLOGY & NEPHROLOGY - SCIE",27334," 6/88 ",9.9,"Q1",12.9,4.3,1
"AMERICAN JOURNAL OF LAW & MEDICINE","0098-8588",0.6,"AM J LAW MED","2375-835X","LAW - SSCI",313," 121/154 ",0.9,"Q3",0.5,0,1
"AMERICAN JOURNAL OF LEGAL HISTORY","0002-9319",0.3,"AM J LEG HIST","2161-797X","LAW - ESCI",198," N/A ",0.4,NA,0.3,0,1
"AMERICAN JOURNAL OF MANAGED CARE","1088-0224",3.2,"AM J MANAG CARE",NA,"HEALTH CARE SCIENCES & SERVICES - SCIE",5690," 48/106 ",3.2,"Q2",3.2,0.5,3
"AMERICAN JOURNAL OF MEDICAL GENETICS PART A","1552-4825",2,"AM J MED GENET A","1552-4833","GENETICS & HEREDITY - SCIE",14904," 127/171 ",2.5,"Q3",1.9,0.3,1
"AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS","1552-4841",2.8,"AM J MED GENET B","1552-485X","GENETICS & HEREDITY - SCIE",3669," 95/171 ",3.5,"Q2",2.6,0.4,2
"AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS","1552-4868",3.1,"AM J MED GENET C","1552-4876","GENETICS & HEREDITY - SCIE",3170," 80/171 ",5.2,"Q1",3.1,0.5,1
"AMERICAN JOURNAL OF MEDICAL QUALITY","1062-8606",1.4,"AM J MED QUAL","1555-824X","HEALTH CARE SCIENCES & SERVICES - SCIE",1595," 95/106 ",1.9,"Q4",1.3,0.4,1
"AMERICAN JOURNAL OF NEPHROLOGY","0250-8095",4.2,"AM J NEPHROL","1421-9670","UROLOGY & NEPHROLOGY - SCIE",5967," 19/88 ",4.2,"Q1",4.1,1.1,1
"AMERICAN JOURNAL OF NEURORADIOLOGY","0195-6108",3.5,"AM J NEURORADIOL","1936-959X","CLINICAL NEUROLOGY - SCIE",25993," 86/212 ",4.1,"Q2",3.3,0.5,3
"AMERICAN JOURNAL OF NURSING","0002-936X",2.7,"AM J NURS","1538-7488","NURSING - SCIE",2648," 23/125 ",2.9,"Q1",2.6,0.6,2
"AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY","0002-9378",9.8,"AM J OBSTET GYNECOL","1097-6868","OBSTETRICS & GYNECOLOGY - SCIE",49551," 2/85 ",9.1,"Q1",9.1,4.4,1
"AMERICAN JOURNAL OF OCCUPATIONAL THERAPY","0272-9490",2.9,"AM J OCCUP THER","1943-7676","REHABILITATION - SSCI",5911," 8/73 ",3.1,"Q1",2.6,0.7,1
"AMERICAN JOURNAL OF OPHTHALMOLOGY","0002-9394",4.2,"AM J OPHTHALMOL","1879-1891","OPHTHALMOLOGY - SCIE",30880," 9/62 ",4.9,"Q1",3.9,1.3,1
"AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS","0889-5406",3,"AM J ORTHOD DENTOFAC","1097-6752","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",18793," 37/91 ",3.5,"Q2",2.6,0.7,1
"AMERICAN JOURNAL OF ORTHOPSYCHIATRY","0002-9432",3.3,"AM J ORTHOPSYCHIAT","1939-0025","SOCIAL WORK - SSCI",6255," 4/44 ",3.8,"Q1",3.2,0.5,1
"AMERICAN JOURNAL OF OTOLARYNGOLOGY","0196-0709",2.5,"AM J OTOLARYNG","1532-818X","OTORHINOLARYNGOLOGY - SCIE",5091," 16/43 ",2.2,"Q3",2.4,0.4,2
"AMERICAN JOURNAL OF PATHOLOGY","0002-9440",6,"AM J PATHOL","1525-2191","PATHOLOGY - SCIE",37825," 11/76 ",5.1,"Q1",6,1.9,2
"AMERICAN JOURNAL OF PERINATOLOGY","0735-1631",2,"AM J PERINAT","1098-8785","OBSTETRICS & GYNECOLOGY - SCIE",5996," 63/85 ",2,"Q4",2,0.2,3
"AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION","0002-9459",3.3,"AM J PHARM EDUC","1553-6467","EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",5544," 15/43 ",3.1,"Q2",2.8,0.9,2
"AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","0002-9483",2.8,"AM J PHYS ANTHROPOL","1096-8644","ANTHROPOLOGY - SSCI",13764," 9/92 ",2.9,"Q1",2.8,NA,1
"AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION","0894-9115",3,"AM J PHYS MED REHAB","1537-7385","REHABILITATION - SCIE",7785," 16/68 ",2.8,"Q2",2.8,1,2
"AMERICAN JOURNAL OF PHYSICS","0002-9505",0.9,"AM J PHYS","1943-2909","EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",9380," 38/43 ",0.9,"Q4",0.8,0.5,1
"AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM","0193-1849",5.1,"AM J PHYSIOL-ENDOC M","1522-1555","ENDOCRINOLOGY & METABOLISM - SCIE",20518," 37/145 ",4.8,"Q2",5.1,1.1,1
"AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY","0193-1857",4.5,"AM J PHYSIOL-GASTR L","1522-1547","GASTROENTEROLOGY & HEPATOLOGY - SCIE",16582," 29/93 ",4.8,"Q2",4.4,1.1,1
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","0363-6135",4.8,"AM J PHYSIOL-HEART C","1522-1539","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE",29226," 45/143 ",5,"Q2",4.3,1.5,3
"AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY","1040-0605",4.9,"AM J PHYSIOL-LUNG C","1522-1504","RESPIRATORY SYSTEM - SCIE",15532," 21/66 ",5,"Q2",4.7,1.1,1
"AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY","1931-857X",4.2,"AM J PHYSIOL-RENAL","1522-1466","UROLOGY & NEPHROLOGY - SCIE",17940," 19/88 ",4.1,"Q1",3.9,1.2,1
"AMERICAN JOURNAL OF POLITICAL SCIENCE","0092-5853",4.2,"AM J POLIT SCI","1540-5907","POLITICAL SCIENCE - SSCI",15324," 20/187 ",6.6,"Q1",4.1,0.8,2
"AMERICAN JOURNAL OF PREVENTIVE MEDICINE","0749-3797",5.5,"AM J PREV MED","1873-2607","MEDICINE, GENERAL & INTERNAL - SCIE",27455," 37/169 ",5.9,"Q1",5.4,1.6,3
"AMERICAN JOURNAL OF PSYCHIATRY","0002-953X",17.7,"AM J PSYCHIAT","1535-7228","PSYCHIATRY - SCIE",41788," 5/155 ",17.8,"Q1",17.2,7.8,2
"AMERICAN JOURNAL OF PSYCHOLOGY","0002-9556",1.3,"AM J PSYCHOL","1939-8298","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",3442," 113/147 ",1.2,"Q4",1.2,0,1
"AMERICAN JOURNAL OF PSYCHOTHERAPY","0002-9564",2.5,"AM J PSYCHOTHER","2575-6559","PSYCHOLOGY, CLINICAL - ESCI",805," N/A ",2.2,NA,2.4,1.1,1
"AMERICAN JOURNAL OF PUBLIC HEALTH","0090-0036",12.7,"AM J PUBLIC HEALTH","1541-0048","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",49951," 10/207 ",11.1,"Q1",12.2,2.3,2
"AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY","1046-7408",3.6,"AM J REPROD IMMUNOL","1600-0897","IMMUNOLOGY - SCIE",6962," 99/161 ",3.6,"Q3",3.4,0.5,2
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","1073-449X",24.7,"AM J RESP CRIT CARE","1535-4970","CRITICAL CARE MEDICINE - SCIE",73439," 3/35 ",21.9,"Q1",23.6,6.8,2
"AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","1044-1549",6.4,"AM J RESP CELL MOL","1535-4989","RESPIRATORY SYSTEM - SCIE",14397," 13/66 ",6.5,"Q1",6.2,2.8,1
"AMERICAN JOURNAL OF ROENTGENOLOGY","0361-803X",5,"AM J ROENTGENOL","1546-3141","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",35480," 23/135 ",4.2,"Q2",4.8,2.4,1
"AMERICAN JOURNAL OF SOCIOLOGY","0002-9602",4.4,"AM J SOCIOL","1537-5390","SOCIOLOGY - SSCI",21981," 13/149 ",5.9,"Q1",4.3,1.7,1
"AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY","1058-0360",2.6,"AM J SPEECH-LANG PAT","1558-9110","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE",4593," 5/27 ",2.9,"Q1",2.3,1,4
"AMERICAN JOURNAL OF SPORTS MEDICINE","0363-5465",4.8,"AM J SPORT MED","1552-3365","ORTHOPEDICS - SCIE",41728," 6/86 ",6.1,"Q1",4.2,0.8,2
"AMERICAN JOURNAL OF SURGERY","0002-9610",3,"AM J SURG","1879-1883","SURGERY - SCIE",19473," 59/213 ",2.7,"Q2",2.8,1.3,1
"AMERICAN JOURNAL OF SURGICAL PATHOLOGY","0147-5185",5.6,"AM J SURG PATHOL","1532-0979","PATHOLOGY - SCIE",23971," 12/76 ",6.3,"Q1",5.3,1.7,3
"AMERICAN JOURNAL OF THE MEDICAL SCIENCES","0002-9629",3.1,"AM J MED SCI","1538-2990","MEDICINE, GENERAL & INTERNAL - SCIE",6677," 75/169 ",2.7,"Q2",3.1,0.8,1
"AMERICAN JOURNAL OF THERAPEUTICS","1075-2765",4.2,"AM J THER","1536-3686","PHARMACOLOGY & PHARMACY - SCIE",2435," 91/278 ",2.9,"Q3",3.8,1.7,1
"AMERICAN JOURNAL OF TRANSPLANTATION","1600-6135",8.7,"AM J TRANSPLANT","1600-6143","SURGERY - SCIE",28932," 8/213 ",7.4,"Q1",8.2,3.3,2
"AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","0002-9637",3.3,"AM J TROP MED HYG","1476-1645","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",24592," 101/207 ",2.8,"Q3",3.2,0.7,2
"AMERICAN JOURNAL ON ADDICTIONS","1055-0496",3.7,"AM J ADDICTION","1521-0391","SUBSTANCE ABUSE - SSCI",3217," 14/38 ",3.5,"Q2",3.7,0.2,1
"AMERICAN POLITICAL SCIENCE REVIEW","0003-0554",6.8,"AM POLIT SCI REV","1537-5943","POLITICAL SCIENCE - SSCI",18798," 5/187 ",8.2,"Q1",6.4,1.1,2
"AMERICAN POLITICS RESEARCH","1532-673X",1.5,"AM POLIT RES","1552-3373","POLITICAL SCIENCE - SSCI",1594," 117/187 ",2.3,"Q2",1.4,0.2,2
"AMERICAN PSYCHOLOGIST","0003-066X",16.4,"AM PSYCHOL","1935-990X","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",37848," 5/147 ",16.2,"Q1",16.2,2.9,1
"AMERICAN REVIEW OF PUBLIC ADMINISTRATION","0275-0740",5,"AM REV PUBLIC ADM","1552-3357","PUBLIC ADMINISTRATION - SSCI",3053," 5/49 ",4.5,"Q1",4.9,0.3,1
"AMERICAN SOCIOLOGICAL REVIEW","0003-1224",9.1,"AM SOCIOL REV","1939-8271","SOCIOLOGY - SSCI",25619," 3/149 ",13.7,"Q1",8.8,1.2,1
"AMERICAN SOCIOLOGIST","0003-1232",0.7,"AM SOCIOL","1936-4784","SOCIOLOGY - ESCI",608," N/A ",NA,NA,0.6,0.2,1
"AMERICAN SPEECH","0003-1283",0.5,"AM SPEECH","1527-2133","LANGUAGE & LINGUISTICS - AHCI",636," N/A ",0.7,NA,0.5,1.3,2
"AMERICAN SURGEON","0003-1348",1,"AM SURGEON","1555-9823","SURGERY - SCIE",6886," 182/213 ",0.9,"Q4",1,0.2,1
"AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS","1350-6129",5.5,"AMYLOID","1744-2818","MEDICINE, GENERAL & INTERNAL - SCIE",2184," 37/169 ",5.8,"Q1",4.9,0.8,2
"ANAESTHESIA","0003-2409",10.7,"ANAESTHESIA","1365-2044","ANESTHESIOLOGY - SCIE",14002," 1/35 ",8.4,"Q1",9.7,2.5,1
"ANAESTHESIA AND INTENSIVE CARE","0310-057X",1.5,"ANAESTH INTENS CARE","1448-0271","ANESTHESIOLOGY - SCIE",2955," 29/35 ",1.9,"Q4",1.3,0.4,2
"ANAIS BRASILEIROS DE DERMATOLOGIA","0365-0596",1.7,"AN BRAS DERMATOL","1806-4841","DERMATOLOGY - SCIE",3550," 50/70 ",2,"Q3",1.7,0.8,1
"ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS","0001-3765",1.3,"AN ACAD BRAS CIENC","1678-2690","MULTIDISCIPLINARY SCIENCES - SCIE",5360," 52/73 ",1.7,"Q3",1.3,0.3,1
"ANALES DE PEDIATRIA","1695-4033",2.1,"AN PEDIATR","1695-9531","PEDIATRICS - SCIE",1465," 66/130 ",1.8,"Q3",2,0.8,2
"ANASTHESIOLOGIE & INTENSIVMEDIZIN","0170-5334",0.7,"ANASTH INTENSIVMED","1439-0256","ANESTHESIOLOGY - SCIE",373," 34/35 ",0.5,"Q4",0.6,0.1,2
"ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE","0939-2661",0.4,"ANASTH INTENSIV NOTF","1439-1074","ANESTHESIOLOGY - SCIE",400," 35/35 ",0.5,"Q4",0.3,0.5,2
"ANDROLOGIA","0303-4569",2.4,"ANDROLOGIA","1439-0272","ANDROLOGY - SCIE",6466," 4/8 ",2.5,"Q3",2.2,0.4,1
"ANESTHESIA AND ANALGESIA","0003-2999",5.9,"ANESTH ANALG","0003-2999","ANESTHESIOLOGY - SCIE",30800," 6/35 ",5.7,"Q1",5.4,2,1
"ANESTHESIOLOGY","0003-3022",8.8,"ANESTHESIOLOGY","1528-1175","ANESTHESIOLOGY - SCIE",30426," 3/35 ",8.4,"Q1",8.3,3.7,1
"ANGIOGENESIS","0969-6970",9.8,"ANGIOGENESIS","1573-7209","PERIPHERAL VASCULAR DISEASE - SCIE",4771," 4/68 ",9.2,"Q1",9,1.2,2
"ANGIOLOGY","0003-3197",2.8,"ANGIOLOGY","1940-1574","PERIPHERAL VASCULAR DISEASE - SCIE",3965," 38/68 ",2.8,"Q3",2.4,0.8,2
"ANGLE ORTHODONTIST","0003-3219",3.4,"ANGLE ORTHOD","1945-7103","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",9307," 28/91 ",3.5,"Q2",3.2,0.9,1
"ANGLIA-ZEITSCHRIFT FUR ENGLISCHE PHILOLOGIE","0340-5222",0.2,"ANGLIA-Z ENGL PHILOL","1865-8938","LANGUAGE & LINGUISTICS - AHCI",126," N/A ",0.2,NA,0.2,0,1
"ANIMAL BEHAVIOUR","0003-3472",2.5,"ANIM BEHAV","1095-8282","BEHAVIORAL SCIENCES - SCIE",25722," 28/52 ",2.8,"Q3",2.3,0.7,1
"ANIMAL COGNITION","1435-9448",2.7,"ANIM COGN","1435-9456","BEHAVIORAL SCIENCES - SCIE",4254," 20/52 ",2.8,"Q3",2.2,0.7,1
"ANIMAL GENETICS","0268-9146",2.4,"ANIM GENET","1365-2052","GENETICS & HEREDITY - SCIE",4346," 111/171 ",2.8,"Q3",2.3,0.5,1
